variavel,categoria,n,reward_estimado_lints,reward_estimado_baseline,lift_absoluto_estimado,lift_relativo_estimado,match_rate,reward_observado_matches,pct_cellular_lints,pct_telephone_lints
month,03. mar,264,0.8273000716981777,0.8273000716981777,0.0,0.0,0.8484848484848485,0.5892857142857143,1.0,0.0
month,04. apr,174,0.6154632242476454,0.6154632242476454,0.0,0.0,0.867816091954023,0.5099337748344371,1.0,0.0
month,06. jun,229,0.7774362486303289,0.7774362486303289,0.0,0.0,0.7248908296943232,0.5903614457831325,1.0,0.0
month,09. sep,303,0.749005569707112,0.749005569707112,0.0,0.0,0.8052805280528053,0.5778688524590164,1.0,0.0
month,07. jul,311,0.7979065610488203,0.7989038783926438,-0.0009973173438234673,-0.0012483571187938427,0.7909967845659164,0.6300813008130082,0.9967845659163987,0.003215434083601286
month,05. may,212,0.49453948530225306,0.5100619736903849,-0.015522488388131805,-0.030432553667594488,0.7594339622641509,0.6211180124223602,0.9528301886792453,0.04716981132075472
month,11. nov,128,0.757866288003247,0.785421504518389,-0.027555216515142034,-0.03508334869445491,0.7890625,0.45544554455445546,0.8515625,0.1484375
month,08. aug,233,0.7328022063410186,0.7730469308864771,-0.04024472454545858,-0.05205987235381517,0.5150214592274678,0.49166666666666664,0.6781115879828327,0.3218884120171674
month,10. oct,204,0.5480988501392369,0.766883618942857,-0.21878476880362008,-0.2852907056551986,0.20588235294117646,0.23809523809523808,0.0784313725490196,0.9215686274509803
poutcome,nonexistent,843,0.6782020814180238,0.7013960192849995,-0.023193937866975656,-0.03306824850619978,0.6785290628706999,0.5437062937062938,0.9252669039145908,0.07473309608540925
poutcome,success,648,0.8623162708689593,0.8865190742187917,-0.02420280334983238,-0.02730093920557784,0.6944444444444444,0.7755555555555556,0.7592592592592593,0.24074074074074073
poutcome,failure,567,0.5864680530636112,0.6321491966414416,-0.045681143577830485,-0.07226323124434986,0.763668430335097,0.3648960739030023,0.8694885361552028,0.13051146384479717
